id,slug,name,description
1,night_owl,Night Owl,Tends to stay up late at night. Has a random chance to lose 10 energy (and rarely 1 Mood) every turn due to lack of sleep.
2,slacker,Slacker,'I'm sure taking a break today is fine...' Has a random chance to not show up for training.
3,skin_outbreak,Skin Outbreak,Worries about her complexion. Has a random chance to lose 1 Mood level every turn.
4,slow_metabolism,Slow Metabolism,Ate too much and put on some weight. Speed cannot be raised through training.
5,migraine,Migraine,Feels a little melancholic due to migraine. Mood level can't be raised.
6,practice_poor,Practice Poor,'Whoops! Watch your step!' Training fail rate is increased by 2%.
7,fast_learner,Fast Learner,'Such a fast learner!' The SP cost of all skills is discounted by 10%.
8,charming_o,Charming ○,'Training together is fun!' Bond gain with support cards is increased by 2.
9,hot_topic,Hot Topic,'Outstanding! The academy is proud of you!' Bond gain with NPCs is increased by 2.
10,practice_perfect_o,Practice Perfect ○,'Don't get careless when practicing.' Training fail rate is decreased by 2%.
11,practice_perfect_oo,Practice Perfect ◎,'Let's be thorough about working towards a successful tomorrow.' Training fail rate is decreased by 4%.
12,under_the_weather,Under the Weather,Exhausted both physically and mentally due to unknown reasons. Training fail rate is increased by 5% until autumn.
13,shining_brightly,Shining Brightly,Physically and mentally in top form! Training fail rate is decreased by 5%.
14,fan_promise_hokkaido,Fan Promise (Hokkaido),"Gain strength by reuniting with your fans. Win a race held at the Sapporo or Hakodate racetrack to gain 10 Speed and Guts, 1 Mood level, 10 Skill Points, and a level 5 hint for the respective racetrack green skill."
15,fan_promise_hokuto,Fan Promise (Hokuto),"Gain strength by reuniting with your fans. Win a race held at the Fukushima, Niigata, or Morioka racetracks to gain 10 Speed and Stamina, 1 Mood level, 10 Skill Points, and a level 5 hint for the respective racetrack green skill."
16,fan_promise_nakayama,Fan Promise (Nakayama),"Gain strength by reuniting with your fans. Win a race held at the Nakayama or Funabashi racetracks to gain 10 Power and Guts, 1 Mood level, 10 Skill Points, and a level 5 hint for the respective racetrack green skill."
17,fan_promise_kansai,Fan Promise (Kansai),"Gain strength by reuniting with your fans. Win a race held at the Kyoto or Hanshin racetrack to gain 10 Stamina and Wisdom, 1 Mood level, 10 Skill Points, and a level 5 hint for the respective racetrack green skill."
18,fan_promise_kokura,Fan Promise (Kokura),"Gain strength by reuniting with your fans. Win a race held at the Kokura racetrack to gain 10 Stamina and Guts, 1 Mood level, 10 Skill Points, and a level 5 hint for the respective racetrack green skill."
19,not_ready,Not Ready,'I haven't been able to get into the flow yet...' Has a random chance to lose 5 energy after participating in a race.
20,legs_of_glass,Legs of Glass,"Can shine in objective races as long as not afflicted by the Bad Practice condition, but will build up fatigue in her legs if racing continuously. Participating in a race two turns in a row will cause the loss of 10 energy and trigger the Bad Practice condition. Doesn't apply if the second race is an objective race."
21,ominous_portent,Ominous Portent,Disturbed qi flow makes it easier for bad things to happen. Winning races becomes difficult.
22,idol_s_promise_kawasaki,Idol's Promise (Kawasaki),"Gain strength by reuniting with your fans. Win a race held at the Kawasaki racetrack to gain 10 Power and Wisdom, 1 Mood level, 10 Skill Points, and a level 5 hint for the respective racetrack green skill."
23,hero_s_brilliance,Hero's Brilliance,Head into the race for the final crown exuding the unmistakable determination of a true hero Temporarily raises all stats by ~350 for the duration of the Senior year Arima Kinen only.
24,bud_longing_for_spring,Bud Longing for Spring,"Your legs cannot yet withstand the strain of racing, so participating in races may lead to exhaustion Energy has a chance to decrease by 5 after each race."
100,pure_passion_team_sirius,Pure Passion: Team Sirius,Can carry out Friendship Training with Team Sirius and is immune to Insomnia as well as Lazy Habit.
101,pure_passion_heirs_to_the_throne,Pure Passion: Heirs to the Throne,Can carry out Friendship Training with The Throne's Assemblage and is immune to Insomnia and Lazy Habit.
102,pure_passion_progenitors_and_guides,Pure Passion: Progenitors and Guides,Can carry out Friendship Training with Ancestors & Guides and is immune to Insomnia and Lazy Habit.
