character_slug,title,requirement,sort_order
haru-urara-uraran-first-prize,Hard-Trying Haru Urara,Earn a total of at least 550000 fans,1
haru-urara-first-urara-saku-sakura,Hard-Trying Haru Urara,Earn a total of at least 550000 fans,1
air-groove-empress-road,Empress,Inherit memories from a parent that won the Japanese Oaks,1
air-groove-empress-road,Empress,Earn a total of at least 320000 fans,2
air-groove-empress-road,Empress,Win the Japanese Oaks,3
air-groove-empress-road,Empress,Win the Tenno Sho (Autumn),4
air-groove-quercus-civilis,Empress,Inherit memories from a parent that won the Japanese Oaks,1
air-groove-quercus-civilis,Empress,Earn a total of at least 320000 fans,2
air-groove-quercus-civilis,Empress,Win the Japanese Oaks,3
air-groove-quercus-civilis,Empress,Win the Tenno Sho (Autumn),4
gold-city-authentic-1928,Beauty of the Century,Win the Hanshin Juvenile Fillies,1
gold-city-authentic-1928,Beauty of the Century,"Be at a Mood level of Perfect and don't have either the Slow Metabolism, Skin Outbreak or Slacker condition for all races",2
gold-city-authentic-1928,Beauty of the Century,Raise the level of all trainings to at least 3,3
gold-city-authentic-1928,Beauty of the Century,Complete the Career,4
gold-city-akizakura-danzatrice,Beauty of the Century,Win the Hanshin Juvenile Fillies,1
gold-city-akizakura-danzatrice,Beauty of the Century,"Be at a Mood level of Perfect and don't have either the Slow Metabolism, Skin Outbreak or Slacker condition for all races",2
gold-city-akizakura-danzatrice,Beauty of the Century,Raise the level of all trainings to at least 3,3
gold-city-akizakura-danzatrice,Beauty of the Century,Complete the Career,4
rice-shower-rose-dream,Sable Assassin,Participate in at least 23 graded races,1
rice-shower-rose-dream,Sable Assassin,Win the Kikuka Sho as the 2nd most or most popular,2
rice-shower-rose-dream,Sable Assassin,Win the Tenno Sho (Spring) as the 2nd most or most popular,3
rice-shower-rose-dream,Sable Assassin,Earn a total of at least 320000 fans,4
rice-shower-make-up-vampire,Sable Assassin,Participate in at least 23 graded races,1
rice-shower-make-up-vampire,Sable Assassin,Win the Kikuka Sho as the 2nd most or most popular,2
rice-shower-make-up-vampire,Sable Assassin,Win the Tenno Sho (Spring) as the 2nd most or most popular,3
rice-shower-make-up-vampire,Sable Assassin,Earn a total of at least 320000 fans,4
