id,name,image,description,uses,how_to_get,item_type,game_id,cap
sprint_racing_shoes,Sprint Racing Shoes,sprint_racing_shoes.png,The hottest new shoe from a popular sprinting brand. Used to raise Potential Level.,Raising the awakening level of a character,Winning short-distance races|Bought in Tazuna's Daily Shop|Circle Item Requests|Limited missions|Limited events,,,
mile_racing_shoes,Mile Racing Shoes,mile_racing_shoes.png,A bestseller that revolutionized the mile shoe industry. Used to raise Potential Level.,Raising the awakening level of a character,Winning mile races|Bought in Tazuna's Daily Shop|Circle Item Requests|Limited missions|Limited events,,,
medium_racing_shoes,Medium Racing Shoes,medium_racing_shoes.png,The medium-distance shoes you can always trust. Used to raise Potential Level.,Raising the awakening level of a character,Winning medium-distance races|Bought in Tazuna's Daily Shop|Circle Item Requests|Limited missions|Limited events,,,
long_racing_shoes,Long Racing Shoes,long_racing_shoes.png,"Shoes from the ""Light Weight"" series that'll keep you light on your feet over long distances. Used to raise Potential Level.",Raising the awakening level of a character,Winning long-distance races|Bought in Tazuna's Daily Shop|Circle Item Requests|Limited missions|Limited events,,10,
dirt_racing_shoes,Dirt Racing Shoes,dirt_racing_shoes.png,Brand-name shoes that keep clean in the sloppiest of dirt. Used to raise Potential Level.,Raising the awakening level of a character,Winning dirt terrain races|Bought in Tazuna's Daily Shop|Circle Item Requests|Limited missions|Limited events,,13,
toughness_30,Toughness 30,toughness_30.png,Drink this for revitalization! Restores 30 TP.,30 TP refill,Limited missions|Limited events|Promo codes,,32,
carrot_jelly_mini,Carrot Jelly Mini,carrot_jelly_mini.png,A jolt of energy that lasts for hours! Restores 1 RP.,1 RP refill,Limited missions|Limited events|Promo codes,,34,
carrot_jelly,Carrot Jelly,carrot_jelly.png,A must-have for veteran trainers! Restores 5 RP.,5 RP refill,Limited missions|Limited events|Promo codes,,35,
trainee_scout_ticket,Trainee Scout Ticket,trainee_scout_ticket.png,A ticket used to scout trainees. Can be used from the scout list.,One pull from the character gacha,Bought with Rainbow Horseshoes|Bought with Gold Horseshoes|Bought with Silver Horseshoes|Bought with Clovers|Bought with Friend Points|Limited events|Limited missions|Promo codes,,41,
carats,Carats,carats.png,A rainbow-colored jewel in the shape of a carrot. It holds mystical power.,Pulling from gacha banners|TP or RP refill|Buying one additional ticket for Champions Meetings,In-App purchases|Various missions|Training races rare drop|Winning trophies for the first time|Team Trials rank rewards|Circle Rank rewards|Limited events,,43,
dream_glimmer,Dream Glimmer,dream_glimmer.png,Glimmers with the power of an Umamusume's dream come true. Used to raise Potential Level.,Raising the awakening level of a character to 4 and beyond|Raising the hint levels of innate character skills,URA Finals race reward|Bought with Rainbow Horseshoes|Bought with Gold Horseshoes|Mission reward|Promo codes|Limited events,,44,
prize_coin,Prize Coin,prize_coin.png,A coin used in the Prize Derby. Obtainable through events.,Spinning the event roulette,Playing during story events,,45,
silver_cleat,Silver Cleat,silver_cleat.png,A silver amulet in the shape of a cleat. Can be exchanged at the shop for various items.,Horseshoe shop exchange,Converting R rarity support cards,,48,
gold_cleat,Gold Cleat,gold_cleat.png,A gold amulet in the shape of a cleat. Can be exchanged at the shop for various items.,Horseshoe shop exchange,Converting SR rarity support cards,,49,
rainbow_cleat,Rainbow Cleat,rainbow_cleat.png,A rainbow amulet in the shape of a cleat. Can be exchanged at the shop for various items.,Horseshoe shop exchange,Converting SSR rarity support cards,,50,
clover,Clover,clover.png,A lucky four-leaf clover. Can be exchanged at the shop for various items.,Clover shop exchange,Character Pieces conversion|Converted from unused Gacha Exchange Points after the end of a banner,,57,
event_points,Event Points,event_points.png,Obtainable through events. Various rewards can be obtained by collecting these.,Earning rewards from the event reward point ladder,Playing during story events,,58,
monies,Monies,monies.png,Preparation is key. Can be used in various situations and places at Tracen Academy.,Buying various items in Tazuna's Daily Shop|Leveling up support cards|Raising the Awakening level of characters|Raising the hint level of characters' innate skills|Borrowing characters from other trainers for inspiration,Bought with Circle Points|Bought with Clovers|Daily races|Training run reward|Training races drop|Limited missions|Limited events,,59,
february_s_winner_s_sash,February S. Winner's Sash,february_s_winner_s_sash.png,Proof of winning the dirt G1 February Stakes. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the February Stakes race|Bought with Friend Points|Bought in Tazuna's Daily Shop|Mission reward,,69,
takamatsunomiya_kinen_winner_s_sash,Takamatsunomiya Kinen Winner's Sash,takamatsunomiya_kinen_winner_s_sash.png,Proof of winning the sprint G1 Takamatsunomiya Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Takamatsunomiya Kinen race|Bought with Friend Points|Bought in Tazuna's Daily Shop|Mission reward,,70,
osaka_hai_winner_s_sash,Osaka Hai Winner's Sash,osaka_hai_winner_s_sash.png,Proof of winning the medium G1 Osaka Hai. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Osaka Hai race|Bought with Circle Points|Bought in Tazuna's Daily Shop|Mission reward,,71,
oka_sho_winner_s_sash,Oka Sho Winner's Sash,oka_sho_winner_s_sash.png,Proof of winning the classic-year G1 Oka Sho. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Oka Sho race|Bought with Clovers|Bought in Tazuna's Daily Shop|Mission reward,,72,
satsuki_sho_winner_s_sash,Satsuki Sho Winner's Sash,satsuki_sho_winner_s_sash.png,Proof of winning the classic-year G1 Satsuki Sho. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Satsuki Sho race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop|Mission reward,,73,
